schno,school,span,group,domain,construct,favorability,count
0,District,Elementary,African American,Culture/Climate,Climate of Support for Academic Learning,78,
0,District,Elementary,African American,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",66,
0,District,Elementary,African American,Culture/Climate,Safety,55,
0,District,Elementary,African American,Culture/Climate,Sense of Belonging (School Connectedness),65,
0,District,Elementary,African American,Social-Emotional Learning,Growth Mindset,59,
0,District,Elementary,African American,Social-Emotional Learning,Self-Efficacy,60,
0,District,Elementary,African American,Social-Emotional Learning,Self-Management,57,
0,District,Elementary,African American,Social-Emotional Learning,Social Awareness,62,
0,District,Elementary,All,Culture/Climate,Climate of Support for Academic Learning,80,
0,District,Elementary,All,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",75,
0,District,Elementary,All,Culture/Climate,Safety,60,
0,District,Elementary,All,Culture/Climate,Sense of Belonging (School Connectedness),75,
0,District,Elementary,All,Social-Emotional Learning,Growth Mindset,60,
0,District,Elementary,All,Social-Emotional Learning,Self-Efficacy,58,
0,District,Elementary,All,Social-Emotional Learning,Self-Management,72,
0,District,Elementary,All,Social-Emotional Learning,Social Awareness,66,
0,District,Elementary,American Indian or Alaskan Native,Culture/Climate,Climate of Support for Academic Learning,79,
0,District,Elementary,American Indian or Alaskan Native,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",77,
0,District,Elementary,American Indian or Alaskan Native,Culture/Climate,Safety,61,
0,District,Elementary,American Indian or Alaskan Native,Culture/Climate,Sense of Belonging (School Connectedness),74,
0,District,Elementary,American Indian or Alaskan Native,Social-Emotional Learning,Growth Mindset,58,
0,District,Elementary,American Indian or Alaskan Native,Social-Emotional Learning,Self-Efficacy,47,
0,District,Elementary,American Indian or Alaskan Native,Social-Emotional Learning,Self-Management,63,
0,District,Elementary,American Indian or Alaskan Native,Social-Emotional Learning,Social Awareness,56,
0,District,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,80,
0,District,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",76,
0,District,Elementary,Asian,Culture/Climate,Safety,58,
0,District,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),75,
0,District,Elementary,Asian,Social-Emotional Learning,Growth Mindset,60,
0,District,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,52,
0,District,Elementary,Asian,Social-Emotional Learning,Self-Management,74,
0,District,Elementary,Asian,Social-Emotional Learning,Social Awareness,63,
0,District,Elementary,Decline to State,Culture/Climate,Climate of Support for Academic Learning,82,
0,District,Elementary,Decline to State,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",75,
0,District,Elementary,Decline to State,Culture/Climate,Safety,57,
0,District,Elementary,Decline to State,Culture/Climate,Sense of Belonging (School Connectedness),76,
0,District,Elementary,Decline to State,Social-Emotional Learning,Growth Mindset,61,
0,District,Elementary,Decline to State,Social-Emotional Learning,Self-Efficacy,60,
0,District,Elementary,Decline to State,Social-Emotional Learning,Self-Management,69,
0,District,Elementary,Decline to State,Social-Emotional Learning,Social Awareness,68,
0,District,Elementary,ELL,Culture/Climate,Climate of Support for Academic Learning,77,
0,District,Elementary,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",74,
0,District,Elementary,ELL,Culture/Climate,Safety,51,
0,District,Elementary,ELL,Culture/Climate,Sense of Belonging (School Connectedness),73,
0,District,Elementary,ELL,Social-Emotional Learning,Growth Mindset,48,
0,District,Elementary,ELL,Social-Emotional Learning,Self-Efficacy,46,
0,District,Elementary,ELL,Social-Emotional Learning,Self-Management,62,
0,District,Elementary,ELL,Social-Emotional Learning,Social Awareness,61,
0,District,Elementary,Filipino,Culture/Climate,Climate of Support for Academic Learning,84,
